Date,Hour,Ontario Demand
2021-01-01,1,14112
2021-01-01,2,13504
2021-01-01,3,13155
2021-01-01,4,12892
2021-01-01,5,12798
2021-01-01,6,12891
2021-01-01,7,13188
2021-01-01,8,13570
2021-01-01,9,13820
2021-01-01,10,14249
2021-01-01,11,14514
2021-01-01,12,14895
2021-01-01,13,14959
2021-01-01,14,15117
2021-01-01,15,15391
2021-01-01,16,15928
2021-01-01,17,16544
2021-01-01,18,17120
2021-01-01,19,16774
2021-01-01,20,16385
2021-01-01,21,16206
2021-01-01,22,15888
2021-01-01,23,15269
2021-01-01,24,14476
2021-01-02,1,13827
2021-01-02,2,13453
2021-01-02,3,13177
2021-01-02,4,13145
2021-01-02,5,13192
2021-01-02,6,13140
2021-01-02,7,13477
2021-01-02,8,14173
2021-01-02,9,14661
2021-01-02,10,15127
2021-01-02,11,15466
2021-01-02,12,15805
2021-01-02,13,15849
2021-01-02,14,15914
2021-01-02,15,16003
2021-01-02,16,16178
2021-01-02,17,16800
2021-01-02,18,17860
2021-01-02,19,17594
2021-01-02,20,16914
2021-01-02,21,16387
2021-01-02,22,15752
2021-01-02,23,15083
2021-01-02,24,14236
2021-01-03,1,13620
2021-01-03,2,13214
2021-01-03,3,12962
2021-01-03,4,12834
2021-01-03,5,12802
2021-01-03,6,13025
2021-01-03,7,13440
2021-01-03,8,14038
2021-01-03,9,14596
2021-01-03,10,15130
2021-01-03,11,15759
2021-01-03,12,16215
2021-01-03,13,16448
2021-01-03,14,16366
2021-01-03,15,16296
2021-01-03,16,16459
2021-01-03,17,17056
2021-01-03,18,18098
2021-01-03,19,17672
2021-01-03,20,17082
2021-01-03,21,16536
2021-01-03,22,15956
2021-01-03,23,15196
2021-01-03,24,14424
2021-01-04,1,13765
2021-01-04,2,13538
2021-01-04,3,13199
2021-01-04,4,13121
2021-01-04,5,13231
2021-01-04,6,13757
2021-01-04,7,14922
2021-01-04,8,16075
2021-01-04,9,16877
2021-01-04,10,17157
2021-01-04,11,17333
2021-01-04,12,17608
2021-01-04,13,17736
2021-01-04,14,17664
2021-01-04,15,17535
2021-01-04,16,17767
2021-01-04,17,18272
2021-01-04,18,19160
2021-01-04,19,18652
2021-01-04,20,18161
2021-01-04,21,17319
2021-01-04,22,16617
2021-01-04,23,15890
2021-01-04,24,14902
2021-01-05,1,14278
2021-01-05,2,13901
2021-01-05,3,13538
2021-01-05,4,13530
2021-01-05,5,13634
2021-01-05,6,14237
2021-01-05,7,15241
2021-01-05,8,16427
2021-01-05,9,17150
2021-01-05,10,17448
2021-01-05,11,17653
2021-01-05,12,17777
2021-01-05,13,17732
2021-01-05,14,17663
2021-01-05,15,17558
2021-01-05,16,17844
2021-01-05,17,18382
2021-01-05,18,19275
2021-01-05,19,18828
2021-01-05,20,18286
2021-01-05,21,17825
2021-01-05,22,17086
2021-01-05,23,16046
2021-01-05,24,15059
2021-01-06,1,14391
